"id","room_id","user_id","team_id","recurring_schedule_id","reservation_type","title","person_count","start_time","end_time","is_cowork_open","created_at","updated_at"
"370f38e3-b5e0-4ffe-b8b3-baea647e6cce","ca0167cb-6263-40fd-9b22-f589aa78058c","","","","personal","Workshop - Back to basics #4","","2026-03-11 12:00:00+00","2026-03-11 13:30:00+00","false","2026-01-21 13:35:00+00","2026-01-21 13:35:00+00"
"43e7c734-4439-45d8-955b-79b6a7355bce","ca0167cb-6263-40fd-9b22-f589aa78058c","","","","personal","Workshop - Back to basics #6","","2026-05-13 11:00:00+00","2026-05-13 12:30:00+00","false","2026-01-21 13:38:00+00","2026-01-21 13:38:00+00"
"e6c99a65-8606-4264-ba7a-769e115ca5ed","ca0167cb-6263-40fd-9b22-f589aa78058c","","","","personal","Workshop - Back to basics #5","","2026-04-15 11:00:00+00","2026-04-15 12:30:00+00","false","2026-01-21 13:38:00+00","2026-01-21 13:38:00+00"
"550ac1f6-6aa2-40e7-a48c-9c3152fff642","ca0167cb-6263-40fd-9b22-f589aa78058c","","","","personal","Workshop - Back to basics #7","","2026-06-10 11:00:00+00","2026-06-10 12:30:00+00","false","2026-01-21 13:39:00+00","2026-01-21 13:39:00+00"
"7121affa-e597-4f69-88a0-4357979f907e","7864e331-9fbe-46aa-974f-fb5f14928530","","","","personal","Restart 226","","2026-03-09 14:30:00+00","2026-03-09 16:30:00+00","false","2026-01-23 06:38:00+00","2026-01-23 06:38:00+00"
"c3d11c41-c500-4356-b881-2ca9029b446a","7864e331-9fbe-46aa-974f-fb5f14928530","","","","personal","Restart 226","","2026-03-16 14:30:00+00","2026-03-16 16:30:00+00","false","2026-01-23 06:39:00+00","2026-01-23 06:39:00+00"
"7a96e4bd-905b-4f75-972a-be8acd8c2e71","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","training_session","TS - PAVIAAN - Budoucnost pracovního trhu","","2026-03-10 12:00:00+00","2026-03-10 16:00:00+00","false","2026-02-03 19:52:00+00","2026-02-03 19:52:00+00"
"0a648139-5009-46f7-8ae3-6362c62ddfad","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","training_session","TS - PAVIAAN - Cirkadiální kód","","2026-03-12 07:00:00+00","2026-03-12 11:00:00+00","false","2026-02-03 19:53:00+00","2026-02-03 19:53:00+00"
"c3fe6914-cea9-472f-bebc-51e0ac1a9916","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","training_session","TS - PAVIAAN - Leadership #leadershipprogram","","2026-03-17 12:00:00+00","2026-03-17 16:00:00+00","false","2026-02-03 19:54:00+00","2026-02-03 19:54:00+00"
"9c5d2ae7-0a6a-43ba-bfa2-d67bd78fb19c","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","training_session","TS - PAVIAAN - Osobní brand","","2026-03-24 12:00:00+00","2026-03-24 16:00:00+00","false","2026-02-03 19:55:00+00","2026-02-03 19:55:00+00"
"6b7ef591-99a9-4de7-b44a-b5fcb6ad5e8b","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","training_session","TS - PAVIAAN - Něco ze skill profile (ještě se specifikuje)","","2026-03-19 07:00:00+00","2026-03-19 11:00:00+00","false","2026-02-03 19:56:00+00","2026-02-03 19:56:00+00"
"589cd228-4855-4906-8994-38fb2cd310e8","7864e331-9fbe-46aa-974f-fb5f14928530","","","","personal","Bez nazvu","","2026-03-12 10:00:00+00","2026-03-12 12:00:00+00","false","2026-02-06 13:24:00+00","2026-02-06 13:24:00+00"
"855fdc25-396c-498d-afd7-cd95a2ecd1e1","7864e331-9fbe-46aa-974f-fb5f14928530","","","","personal","Bez nazvu","","2026-03-05 10:00:00+00","2026-03-05 12:00:00+00","false","2026-02-06 13:24:00+00","2026-02-06 13:24:00+00"
"67be042e-3465-4bee-af49-49b338f64243","7864e331-9fbe-46aa-974f-fb5f14928530","","","","personal","Bez nazvu","","2026-02-26 10:00:00+00","2026-02-26 12:00:00+00","false","2026-02-06 13:24:00+00","2026-02-06 13:24:00+00"
"db8ae6bc-0cae-456a-9a32-200a9151d55d","ab5e7ecb-56b2-44d3-9b75-bc718738df22","","","","personal","Den (s) Téčkem","","2026-03-18 07:30:00+00","2026-03-18 15:10:00+00","false","2026-02-08 22:58:00+00","2026-02-08 22:58:00+00"
"84fe499f-48c0-4ff5-a5c6-831e7822cfb4","ab5e7ecb-56b2-44d3-9b75-bc718738df22","","","","personal","Den (s) Téčkem","","2026-03-13 07:30:00+00","2026-03-13 15:10:00+00","false","2026-02-08 22:58:00+00","2026-02-08 22:58:00+00"
"6975fdea-a851-4b31-869f-798881ad4faa","7864e331-9fbe-46aa-974f-fb5f14928530","","","","personal","Den (s) Téčkem - Shark Tank","","2026-03-13 10:00:00+00","2026-03-13 11:30:00+00","false","2026-02-08 22:59:00+00","2026-02-08 22:59:00+00"
"97118632-26ad-47b1-8017-50a3cb7c7a10","7864e331-9fbe-46aa-974f-fb5f14928530","","","","personal","Den (s) Téčkem - Shark Tank","","2026-03-18 10:00:00+00","2026-03-18 11:30:00+00","false","2026-02-08 23:00:00+00","2026-02-08 23:00:00+00"
"92124947-79c5-4e66-a0b4-3aa7949e0f69","ab5e7ecb-56b2-44d3-9b75-bc718738df22","","","","training_session","TS - WEAM - Rodičovství","","2026-03-12 07:00:00+00","2026-03-12 11:00:00+00","false","2026-02-10 10:17:00+00","2026-02-10 10:17:00+00"
"cdad3e47-bbda-419c-913b-9daa1cfe5541","ab5e7ecb-56b2-44d3-9b75-bc718738df22","","","","personal","Timace TM","","2026-03-09 12:00:00+00","2026-03-09 14:00:00+00","false","2026-02-11 10:15:00+00","2026-02-11 10:15:00+00"
"e93d2970-3c95-4109-b7b1-4e66e9876746","ab5e7ecb-56b2-44d3-9b75-bc718738df22","","","","personal","Timace TM","","2026-03-16 12:00:00+00","2026-03-16 14:00:00+00","false","2026-02-11 10:18:00+00","2026-02-11 10:18:00+00"
"d27a661e-20c1-47b1-af54-009c7201cf19","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","personal","TM Paviaan","","2026-03-16 13:00:00+00","2026-03-16 16:00:00+00","false","2026-02-12 13:56:00+00","2026-02-12 13:56:00+00"
"d2cd35dc-c70b-4e1c-ac00-b2836cd04a14","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","personal","TM Paviaan","","2026-03-09 13:00:00+00","2026-03-09 16:00:00+00","false","2026-02-12 13:56:00+00","2026-02-12 13:56:00+00"
"9d80a5ab-5a03-4688-80e3-b33768fb9e60","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","personal","TM Paviaan","","2026-03-02 13:00:00+00","2026-03-02 16:00:00+00","false","2026-02-12 13:56:00+00","2026-02-12 13:56:00+00"
"0303dd20-c2fb-48e3-aeaf-1d6d08ea7f64","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","personal","TM Paviaan","","2026-04-13 12:00:00+00","2026-04-13 15:00:00+00","false","2026-02-12 13:57:00+00","2026-02-12 13:57:00+00"
"19b58c03-aafe-47c9-a352-c6f2cc4ba8ee","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","personal","TM Paviaan","","2026-04-06 12:00:00+00","2026-04-06 15:00:00+00","false","2026-02-12 13:57:00+00","2026-02-12 13:57:00+00"
"113217bd-dce8-4a3a-9c55-608e99f2815c","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","personal","TM Paviaan","","2026-03-30 12:00:00+00","2026-03-30 15:00:00+00","false","2026-02-12 13:57:00+00","2026-02-12 13:57:00+00"
"53e49d58-9999-4eb4-a5e9-55f871047b84","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","personal","TM Paviaan","","2026-03-23 13:00:00+00","2026-03-23 16:00:00+00","false","2026-02-12 13:57:00+00","2026-02-12 13:57:00+00"
"a2d6d994-7a25-44df-8b27-602ac5b4ea4e","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","personal","TM Paviaan","","2026-04-27 12:00:00+00","2026-04-27 15:00:00+00","false","2026-02-12 13:58:00+00","2026-02-12 13:58:00+00"
"0c64c823-3a8c-4b00-bbd3-998f175bf354","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","personal","TM Paviaan","","2026-04-20 12:00:00+00","2026-04-20 15:00:00+00","false","2026-02-12 13:58:00+00","2026-02-12 13:58:00+00"
"f1aacbdc-627f-4976-8847-83968bb51df7","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","personal","TM Paviaan","","2026-05-25 12:00:00+00","2026-05-25 15:00:00+00","false","2026-02-12 13:59:00+00","2026-02-12 13:59:00+00"
"05a83661-b0dd-47ba-a92c-d5fb74b89b16","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","personal","TM Paviaan","","2026-05-18 12:00:00+00","2026-05-18 15:00:00+00","false","2026-02-12 13:59:00+00","2026-02-12 13:59:00+00"
"e6b53eb3-6de5-47d4-8500-5d8e7e2008bc","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","personal","TM Paviaan","","2026-05-11 12:00:00+00","2026-05-11 15:00:00+00","false","2026-02-12 13:59:00+00","2026-02-12 13:59:00+00"
"c5512452-bdfe-4103-9997-2651ec77e93a","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","personal","TM Paviaan","","2026-05-04 12:00:00+00","2026-05-04 15:00:00+00","false","2026-02-12 13:59:00+00","2026-02-12 13:59:00+00"
"af9298b9-dd69-4803-bde7-78ee0ca5dd4b","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","training_session","TS - Tuuli - Právo (případové studie pro Řeháčka)","","2026-03-09 23:00:00+00","2026-03-10 03:00:00+00","false","2026-02-13 15:54:00+00","2026-02-13 15:54:00+00"
"31e5e07c-bfae-465c-9be6-c15dd8a52af3","ab5e7ecb-56b2-44d3-9b75-bc718738df22","","","","training_session","TS - Tuuli - Komunikace a práce v konfliktu","","2026-03-12 12:00:00+00","2026-03-12 16:00:00+00","false","2026-02-13 15:56:00+00","2026-02-13 15:56:00+00"
"8a0bf0a0-4bd5-4b2c-810a-c21ed79da5cb","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","training_session","TS - Tuuli - Sales","","2026-03-17 07:00:00+00","2026-03-17 11:00:00+00","false","2026-02-13 15:57:00+00","2026-02-13 15:57:00+00"
"fcaf92ac-7c25-4f89-ac70-6d851c2be929","ab5e7ecb-56b2-44d3-9b75-bc718738df22","","","","training_session","TS - Tuuli - 17 zákonů týmové spolupráce","","2026-03-19 12:00:00+00","2026-03-19 16:00:00+00","false","2026-02-13 15:58:00+00","2026-02-13 15:58:00+00"
"2b3a59d9-612d-43a7-b449-990fe813e64a","ab5e7ecb-56b2-44d3-9b75-bc718738df22","","","","training_session","TS - Tuuli - Proč spíme","","2026-03-26 12:00:00+00","2026-03-26 16:00:00+00","false","2026-02-13 16:02:00+00","2026-02-13 16:02:00+00"
"334fca40-fbba-4b14-8ffb-0ee3acfe584d","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","training_session","TS - Tuuli - Základy investování","","2026-03-24 07:00:00+00","2026-03-24 11:00:00+00","false","2026-02-13 16:02:00+00","2026-02-13 16:02:00+00"
"9b061da0-03f5-4a88-a49c-7d34c457ace2","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","training_session","TS - Tuuli - Daně","","2026-03-31 06:00:00+00","2026-03-31 10:00:00+00","false","2026-02-13 16:03:00+00","2026-02-13 16:03:00+00"
"a8b8a6f6-d72b-42c5-9041-ca33f6ad0afe","ab5e7ecb-56b2-44d3-9b75-bc718738df22","","","","training_session","TS - Tuuli - Stres a vyhoření","","2026-04-02 11:00:00+00","2026-04-02 15:00:00+00","false","2026-02-13 16:04:00+00","2026-02-13 16:04:00+00"
"57fa5cac-c5b5-42ed-a89e-b2c3e8295728","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","training_session","TS - Tuuli - Podnikatelský plán (Moulisův předmět)","","2026-04-07 06:00:00+00","2026-04-07 10:00:00+00","false","2026-02-13 16:05:00+00","2026-02-13 16:05:00+00"
"28834487-318c-48ba-84f5-a2177bdc72ea","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","training_session","TS - Timace - Sdílení LC","","2026-03-12 12:00:00+00","2026-03-12 16:00:00+00","false","2026-02-14 13:37:00+00","2026-02-14 13:37:00+00"
"73834655-1e0d-46f2-8f08-098584796374","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","training_session","TS - Timace - AI - prompting","","2026-03-19 12:00:00+00","2026-03-19 16:00:00+00","false","2026-02-14 13:39:00+00","2026-02-14 13:39:00+00"
"6eb8db98-3fe8-4edb-985f-648f4298f957","ab5e7ecb-56b2-44d3-9b75-bc718738df22","","","","training_session","TS - Timace - Základy investování","","2026-03-16 07:00:00+00","2026-03-16 11:00:00+00","false","2026-02-14 13:39:00+00","2026-02-14 13:39:00+00"
"7ab8a695-c7bf-4239-aad0-6b807367f4b6","ab5e7ecb-56b2-44d3-9b75-bc718738df22","","","","training_session","TS - Timace - Základy sales","","2026-03-23 07:00:00+00","2026-03-23 11:00:00+00","false","2026-02-14 13:40:00+00","2026-02-14 13:40:00+00"
"d69b7d49-aff5-4b23-8270-9e43ed4f2175","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","personal","GenZ Sprint Lab - Experience Board","","2026-04-08 13:00:00+00","2026-04-08 17:00:00+00","false","2026-02-16 12:07:00+00","2026-02-16 12:07:00+00"
"6921303f-afad-4e0f-8402-cebb0603bf62","b6de2cb9-1037-4ea1-a73f-5e4b99981a6e","","","","personal","Školení sales - Červená panda","","2026-03-23 13:30:00+00","2026-03-23 16:00:00+00","false","2026-02-16 12:09:00+00","2026-02-16 12:09:00+00"
"14e4b002-946f-4f62-867d-f1f7c7b3f424","b6de2cb9-1037-4ea1-a73f-5e4b99981a6e","","","","personal","Školení sales - Červená panda","","2026-03-16 13:30:00+00","2026-03-16 16:00:00+00","false","2026-02-16 12:09:00+00","2026-02-16 12:09:00+00"
"fb28c947-6030-41d1-922f-838f71041ea4","b6de2cb9-1037-4ea1-a73f-5e4b99981a6e","","","","personal","Školení sales - Červená panda","","2026-03-30 12:30:00+00","2026-03-30 15:00:00+00","false","2026-02-16 12:10:00+00","2026-02-16 12:10:00+00"
"2e273737-ba62-4875-bb30-eb8079ba3adc","b6de2cb9-1037-4ea1-a73f-5e4b99981a6e","","","","personal","Školení sales - Červená panda","","2026-04-13 12:30:00+00","2026-04-13 15:00:00+00","false","2026-02-16 12:11:00+00","2026-02-16 12:11:00+00"
"4587b404-e22f-4124-91d0-9abda6ec45f6","b6de2cb9-1037-4ea1-a73f-5e4b99981a6e","","","","personal","Školení sales - Červená panda","","2026-04-27 12:30:00+00","2026-04-27 15:00:00+00","false","2026-02-16 12:12:00+00","2026-02-16 12:12:00+00"
"2ade8839-0c93-4554-8403-272fd06ba668","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","personal","přijímačky","","2026-03-04 08:00:00+00","2026-03-04 10:00:00+00","false","2026-02-17 11:00:00+00","2026-02-17 11:00:00+00"
"67783b93-bc0b-4488-b77c-7195ee4d024e","b6de2cb9-1037-4ea1-a73f-5e4b99981a6e","","","","personal","Meeting - střih filmu","","2026-03-13 08:00:00+00","2026-03-13 14:00:00+00","false","2026-02-17 13:37:00+00","2026-02-17 13:37:00+00"
"763b4753-6586-4670-9857-22499e8e482e","7864e331-9fbe-46aa-974f-fb5f14928530","","","","personal","Meeting - střih filmu","","2026-03-20 08:00:00+00","2026-03-20 14:00:00+00","false","2026-02-17 13:38:00+00","2026-02-17 13:38:00+00"
"aa9273d7-29dc-497d-897b-7973170d2877","7864e331-9fbe-46aa-974f-fb5f14928530","","","","personal","Meeting","","2026-03-18 12:00:00+00","2026-03-18 16:00:00+00","false","2026-02-17 13:40:00+00","2026-02-17 13:40:00+00"
"d9a3a439-6d38-487c-b1a0-a8da88deeedb","e8919332-08cc-4d6f-9d07-8ef8867594fe","","","","training_session","TS - PAVIAAN - Reklama a placená reklama","","2026-03-31 11:00:00+00","2026-03-31 15:00:00+00","false","2026-02-19 08:17:00+00","2026-02-19 08:17:00+00"
"0b500b27-04c4-49b9-97ac-e1f302f61d0b","ab5e7ecb-56b2-44d3-9b75-bc718738df22","","","","training_session","TS - UNIWAVE - Osobní PR","","2026-03-10 12:00:00+00","2026-03-10 16:00:00+00","false","2026-02-19 14:17:00+00","2026-02-19 14:17:00+00"
"9f2973b5-7279-4802-a470-7b76434cd33e","ab5e7ecb-56b2-44d3-9b75-bc718738df22","","","","training_session","TS - UNIWAVE - Mastermind - Projekt Ďolíček","","2026-03-31 11:00:00+00","2026-03-31 15:00:00+00","false","2026-02-19 14:18:00+00","2026-02-19 14:18:00+00"
"b11ba0a1-9901-410c-adde-64ac750998e2","ab5e7ecb-56b2-44d3-9b75-bc718738df22","","","","training_session","TS - UNIWAVE - Závěrečné portfolio","","2026-03-16 23:00:00+00","2026-03-17 03:00:00+00","false","2026-02-19 14:19:00+00","2026-02-19 14:19:00+00"
"3bea920d-0be6-4fff-b946-d4b95c974d93","ab5e7ecb-56b2-44d3-9b75-bc718738df22","","","","training_session","TS - UNIWAVE - Co budeme dělat s časem až skončí TS a TM","","2026-04-14 11:00:00+00","2026-04-14 15:00:00+00","false","2026-02-19 14:20:00+00","2026-02-19 14:20:00+00"
"54494db4-8d0d-4dab-9a77-108b8ad8b9e9","ab5e7ecb-56b2-44d3-9b75-bc718738df22","","","","personal","Mastermind","","2026-02-26 11:00:00+00","2026-02-26 15:00:00+00","false","2026-02-20 07:01:00+00","2026-02-20 07:01:00+00"
"eec225a8-9e4a-4600-88c0-33785fc51f0a","b6de2cb9-1037-4ea1-a73f-5e4b99981a6e","","","","personal","Cally","","2026-02-26 13:00:00+00","2026-02-26 16:00:00+00","false","2026-02-22 20:37:00+00","2026-02-22 20:37:00+00"
"c10527f9-bd9b-4c79-b4f8-36857b0b0687","b6de2cb9-1037-4ea1-a73f-5e4b99981a6e","","","","personal","Meet","","2026-02-26 09:00:00+00","2026-02-26 11:00:00+00","false","2026-02-22 20:37:00+00","2026-02-22 20:37:00+00"
"20f39510-d6ab-49c5-a815-0fdd275a09ed","ab5e7ecb-56b2-44d3-9b75-bc718738df22","","","","personal","Recruitment house meet","","2026-02-26 08:00:00+00","2026-02-26 11:00:00+00","false","2026-02-23 10:17:00+00","2026-02-23 10:17:00+00"
